;(('collector', 'thermal'), 'flow')_1;(('electricity', 'collector'), 'flow');(('solar', 'collector'), 'flow');(('backup', 'thermal'), 'flow');(('collector', 'thermal'), 'flow');(('storage', 'thermal'), 'flow');(('thermal', 'demand'), 'flow');(('thermal', 'storage'), 'flow')
2003-01-01 00:00:00+04:00;0.0;0.0;0.0;38.736377;0.0;0.0;38.73637726095653;0.0
2003-01-01 01:00:00+04:00;0.0;0.0;0.0;40.326674;0.0;0.0;40.32667388432264;0.0
2003-01-01 02:00:00+04:00;0.0;0.0;0.0;41.725507;0.0;0.0;41.72550729154862;0.0
2003-01-01 03:00:00+04:00;0.0;0.0;0.0;45.256653;0.0;0.0;45.25665343864291;0.0
2003-01-01 04:00:00+04:00;0.0;0.0;0.0;55.354282;0.0;0.0;55.354282036402566;0.0
2003-01-01 05:00:00+04:00;0.0;0.0;0.0;71.335188;0.0;0.0;71.33518779444665;0.0
2003-01-01 06:00:00+04:00;0.0;0.0;0.0;75.076908;0.0;0.0;75.07690806705584;0.0
2003-01-01 07:00:00+04:00;0.0;0.0;0.0;72.762248;0.0;0.0;72.76224768113812;0.0
2003-01-01 08:00:00+04:00;0.0;0.0;0.0;70.162175;0.0;0.0;70.16217500898352;0.0
2003-01-01 09:00:00+04:00;0.0;0.0;0.0;67.322587;0.0;0.0;67.32258667289514;0.0
2003-01-01 10:00:00+04:00;0.0;0.0;0.0;64.01547;0.0;0.0;64.015470316519;0.0
2003-01-01 11:00:00+04:00;0.0;0.0;0.0;61.144364;0.0;0.0;61.14436416659386;0.0
2003-01-01 12:00:00+04:00;0.0;0.0;0.0;59.690794;0.0;0.0;59.69079385304234;0.0
2003-01-01 13:00:00+04:00;0.0;0.0;0.0;59.015005;0.0;0.0;59.015004666289485;0.0
2003-01-01 14:00:00+04:00;0.0;0.0;0.0;59.41738;0.0;0.0;59.41738010275185;0.0
2003-01-01 15:00:00+04:00;0.0;0.0;0.0;60.127075;0.0;0.0;60.12707484083055;0.0
2003-01-01 16:00:00+04:00;0.0;0.0;0.0;60.834923;0.0;0.0;60.8349234040946;0.0
2003-01-01 17:00:00+04:00;0.0;0.0;0.0;61.255738;0.0;0.0;61.255737953336535;0.0
2003-01-01 18:00:00+04:00;0.0;0.0;0.0;61.23279;0.0;0.0;61.23278964218497;0.0
2003-01-01 19:00:00+04:00;0.0;0.0;0.0;60.292934;0.0;0.0;60.292934187230884;0.0
2003-01-01 20:00:00+04:00;0.0;0.0;0.0;57.593521;0.0;0.0;57.59352062888763;0.0
2003-01-01 21:00:00+04:00;0.0;0.0;0.0;51.356006;0.0;0.0;51.35600568358099;0.0
2003-01-01 22:00:00+04:00;0.0;0.0;0.0;44.389583;0.0;0.0;44.38958341274312;0.0
2003-01-01 23:00:00+04:00;0.0;0.0;0.0;39.369242;0.0;0.0;39.369242499639526;0.0
2003-01-02 00:00:00+04:00;0.0;0.0;0.0;36.049881;0.0;0.0;36.04988125782661;0.0
2003-01-02 01:00:00+04:00;0.0;0.0;0.0;37.842865;0.0;0.0;37.842865287862416;0.0
2003-01-02 02:00:00+04:00;0.0;0.0;0.0;39.650852;0.0;0.0;39.65085193692384;0.0
2003-01-02 03:00:00+04:00;0.0;0.0;0.0;43.076451;0.0;0.0;43.076451347405666;0.0
2003-01-02 04:00:00+04:00;0.0;0.0;0.0;52.865146;0.0;0.0;52.865146391242924;0.0
2003-01-02 05:00:00+04:00;0.0;0.0;0.0;68.30988;0.0;0.0;68.30987959501405;0.0
2003-01-02 06:00:00+04:00;0.0;0.0;0.0;69.480638;0.0;0.0;69.48063847542808;0.0
2003-01-02 07:00:00+04:00;0.0;0.0;0.0;67.227903;0.0;0.0;67.22790304557587;0.0
2003-01-02 08:00:00+04:00;0.0;0.0;0.0;64.243906;0.0;0.0;64.24390591359128;0.0
2003-01-02 09:00:00+04:00;0.0;0.0;0.0;61.916775;0.0;0.0;61.91677500759741;0.0
2003-01-02 10:00:00+04:00;0.0;0.0;0.0;59.906214;0.0;0.0;59.906213754316745;0.0
2003-01-02 11:00:00+04:00;0.0;0.0;0.0;56.346959;0.0;0.0;56.3469587188776;0.0
2003-01-02 12:00:00+04:00;0.0;0.0;0.0;54.109932;0.0;0.0;54.10993182657805;0.0
2003-01-02 13:00:00+04:00;0.0;0.0;0.0;53.573308;0.0;0.0;53.57330756063328;0.0
2003-01-02 14:00:00+04:00;0.0;0.0;0.0;54.030961;0.0;0.0;54.03096129225399;0.0
2003-01-02 15:00:00+04:00;0.0;0.0;0.0;55.377654;0.0;0.0;55.377653680419876;0.0
2003-01-02 16:00:00+04:00;0.0;0.0;0.0;57.152846;0.0;0.0;57.152846191807484;0.0
2003-01-02 17:00:00+04:00;0.0;0.0;0.0;57.908426;0.0;0.0;57.90842642784092;0.0
2003-01-02 18:00:00+04:00;0.0;0.0;0.0;57.401909;0.0;0.0;57.40190870231281;0.0
2003-01-02 19:00:00+04:00;0.0;0.0;0.0;56.393791;0.0;0.0;56.39379122500982;0.0
2003-01-02 20:00:00+04:00;0.0;0.0;0.0;55.541384;0.0;0.0;55.54138443985889;0.0
2003-01-02 21:00:00+04:00;0.0;0.0;0.0;49.626614;0.0;0.0;49.626613620423846;0.0
2003-01-02 22:00:00+04:00;0.0;0.0;0.0;43.15351;0.0;0.0;43.153510099430044;0.0
2003-01-02 23:00:00+04:00;0.0;0.0;0.0;38.58505;0.0;0.0;38.58505026209458;0.0
